track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals
KSJT20250128-10,KSJT20250129_021541_V06,2,0.879,1.200,731,0,8.057
KSJT20250128-10,KSJT20250129_021541_V06,4,1.318,1.200,728,0,0.148
KSJT20250128-10,KSJT20250129_021541_V06,6,1.802,1.200,362,0,0.147
KSJT20250128-10,KSJT20250129_021541_V06,7,2.417,1.200,364,0,0.148
KSJT20250128-10,KSJT20250129_021541_V06,8,3.120,1.200,365,0,0.149
KSJT20250128-10,KSJT20250129_021541_V06,9,3.999,1.200,366,0,0.149
KSJT20250131-1,KSJT20250201_001346_V06,0,0.483,1.200,1650,4,8974.508
KSJT20250131-1,KSJT20250201_001346_V06,2,0.879,1.200,1650,3,3235.618
KSJT20250131-1,KSJT20250201_001346_V06,4,1.318,1.200,1649,0,18.300
KSJT20250131-1,KSJT20250201_001346_V06,6,1.802,1.200,825,0,0.675
KSJT20250131-1,KSJT20250201_001346_V06,7,2.417,1.200,825,0,0.106
KSJT20250131-1,KSJT20250201_001346_V06,8,3.120,1.200,827,0,0.567
KSJT20250131-1,KSJT20250201_001346_V06,9,3.999,1.200,825,0,0.144
KSJT20250131-1,KSJT20250201_001346_V06,10,5.098,1.200,826,0,0.350
KSJT20250131-1,KSJT20250201_001346_V06,11,6.416,1.200,830,0,0.177
KSJT20250201-1,KSJT20250202_002541_V06,0,0.483,1.200,753,0,828.830
KSJT20250201-1,KSJT20250202_002541_V06,2,0.879,1.200,755,0,17.893
KSJT20250201-1,KSJT20250202_002541_V06,4,1.318,1.200,755,0,0.158
KSJT20250201-1,KSJT20250202_002541_V06,6,1.802,1.200,378,0,0.158
KSJT20250201-1,KSJT20250202_002541_V06,7,2.417,1.200,376,0,0.157
KSJT20250201-1,KSJT20250202_002541_V06,8,3.120,1.200,377,0,0.158
KSJT20250201-1,KSJT20250202_002541_V06,9,3.999,1.200,377,0,0.158
KSJT20250201-1,KSJT20250202_003235_V06,0,0.483,1.200,3828,3,12257.118
KSJT20250201-1,KSJT20250202_003235_V06,2,0.879,1.200,3825,0,790.378
KSJT20250201-1,KSJT20250202_003235_V06,4,1.318,1.200,3826,0,14.364
KSJT20250201-1,KSJT20250202_003235_V06,6,1.802,1.200,1914,0,0.799
KSJT20250201-1,KSJT20250202_003235_V06,7,2.417,1.200,1917,0,0.801
KSJT20250201-1,KSJT20250202_003235_V06,8,3.120,1.200,1918,0,0.803
KSJT20250201-1,KSJT20250202_003235_V06,9,3.999,1.200,1920,0,0.805
