track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels
2,KSJT20240729_014354_V06,3.720,-1.000,271.616,385.534,33.211,-100.641,30.985,16605.350,45060.549,20240728_204354,479164,217
2,KSJT20240729_015043_V06,10.537,0.110,261.792,373.388,19.989,-100.692,31.040,9994.478,41369.531,20240728_205043,479171,216
3,KSJT20240729_014354_V06,3.720,0.147,418.199,325.660,14.619,-99.872,31.254,7309.334,60476.225,20240728_204354,479164,217
3,KSJT20240729_015043_V06,10.537,0.092,418.108,325.237,21.985,-99.872,31.256,10992.749,60386.961,20240728_205043,479171,216
7,KSJT20240729_021742_V06,37.520,0.120,289.857,255.181,5.231,-100.546,31.573,2615.280,22976.265,20240728_211742,479174,239
7,KSJT20240729_022431_V06,44.337,0.148,289.401,254.995,12.290,-100.548,31.574,6145.125,23117.925,20240728_212431,479174,246
7,KSJT20240729_023130_V06,51.320,0.157,288.540,253.299,9.464,-100.553,31.582,4731.857,24043.378,20240728_213130,479177,242
1,KSJT20240729_010328_V06,-36.713,0.051,502.722,175.974,76.809,-99.420,31.926,38404.724,118825.934,20240728_200328,479172,243
6,KSJT20240729_021742_V06,37.520,0.134,315.215,273.131,10.319,-100.412,31.492,5159.294,15439.133,20240728_211742,479174,239
10,KSJT20240729_023829_V06,58.303,0.062,418.306,321.006,15.267,-99.871,31.275,7633.389,60078.345,20240728_213829,479173,229
3,KSJT20240730_021443_V06,35.251,0.572,287.511,253.201,6.810,-100.558,31.582,3405.022,24218.497,20240729_211443,479168,255
3,KSJT20240730_022137_V06,42.151,0.701,287.758,251.618,12.286,-100.557,31.589,6142.897,24953.140,20240729_212137,479165,238
3,KSJT20240730_022817_V06,48.818,0.327,287.643,250.323,17.062,-100.557,31.595,8531.101,25595.464,20240729_212817,479173,261
7,KSJT20240730_022137_V06,42.151,0.393,307.013,284.071,10.519,-100.455,31.443,5259.521,8702.108,20240729_212137,479165,238
7,KSJT20240730_022817_V06,48.818,0.571,307.535,284.103,16.951,-100.453,31.443,8475.322,8796.044,20240729_212817,479173,261
7,KSJT20240730_023516_V06,55.801,0.065,309.517,285.532,18.459,-100.442,31.436,9229.578,8659.033,20240729_213516,479173,248
1,KSJT20240730_013947_V06,0.318,0.075,419.564,325.860,13.039,-99.865,31.253,6519.470,61164.173,20240729_203947,479173,250
1,KSJT20240730_014647_V06,7.318,-1.000,419.564,325.860,24.169,-99.865,31.253,12084.470,61164.173,20240729_204647,479169,218
1,KSJT20240730_020046_V06,21.301,0.213,415.984,321.498,16.857,-99.883,31.273,8428.566,58979.929,20240729_210046,479167,273
1,KSJT20240730_020744_V06,28.268,-1.000,415.984,321.498,27.934,-99.883,31.273,13967.066,58979.929,20240729_210744,479173,287
