track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KDFX19990303_002236,-18.548,0.994,257.968,214.328,29.142,-100.497,29.659,14571.219,47713.773,19990302_182236
1,KDFX19990303_003224,-8.748,0.976,258.010,218.166,35.425,-100.497,29.641,17712.343,45988.976,19990302_183224
1,KDFX19990303_004212,1.052,0.916,260.953,229.707,41.956,-100.482,29.589,20978.043,40204.969,19990302_184212
1,KDFX19990303_005200,10.852,0.106,254.947,248.229,53.513,-100.513,29.506,26756.290,34314.601,19990302_185200
1,KDFX19990303_010149,20.669,0.232,266.191,258.531,70.741,-100.455,29.459,35370.706,26752.082,19990302_190149
1,KDFX19990303_011137,30.469,0.077,236.359,238.109,48.354,-100.609,29.551,24177.170,44386.682,19990302_191137
1,KDFX19990303_012125,40.269,0.098,228.345,237.707,42.763,-100.650,29.553,21381.323,47473.568,19990302_192125
7,KDFX19990303_013114,50.086,0.888,252.478,216.483,24.430,-100.526,29.649,12215.021,48045.230,19990302_193114
7,KDFX19990303_014102,59.886,0.426,250.359,217.845,34.681,-100.537,29.643,17340.450,47993.841,19990302_194102
3,KDFX19990303_010149,20.669,0.054,258.149,435.519,10.548,-100.494,28.661,5273.945,70916.803,19990302_190149
4,KDFX19990303_011137,30.469,0.147,339.483,338.648,11.388,-100.077,29.098,5694.027,27625.076,19990302_191137
8,KDFX19990303_014102,59.886,0.170,311.572,170.448,28.993,-100.220,29.857,14496.380,65034.046,19990302_194102
4,KDFX19990317_002356,-26.025,0.155,406.831,256.210,12.984,-99.730,29.469,6492.153,57728.817,19990316_182356
4,KDFX19990317_002945,-20.208,0.747,407.617,257.336,18.731,-99.726,29.464,9365.494,57882.836,19990316_182945
4,KDFX19990317_003535,-14.375,0.977,401.804,248.618,18.718,-99.755,29.503,9358.939,57018.010,19990316_183535
4,KDFX19990317_004125,-8.542,0.986,401.909,244.672,21.935,-99.755,29.521,10967.349,57979.897,19990316_184125
4,KDFX19990317_004715,-2.708,0.990,400.801,240.006,25.294,-99.760,29.542,12646.866,58651.659,19990316_184715
4,KDFX19990317_005305,3.125,0.988,398.954,235.910,29.316,-99.770,29.561,14658.226,58947.840,19990316_185305
4,KDFX19990317_005855,8.958,0.978,395.223,231.472,30.513,-99.789,29.581,15256.322,58658.825,19990316_185855
4,KDFX19990317_010444,14.775,0.789,393.352,229.003,31.087,-99.798,29.592,15543.748,58641.492,19990316_190444
4,KDFX19990317_011035,20.625,0.174,388.325,222.958,39.909,-99.824,29.619,19954.514,58601.980,19990316_191035
1,KDFX19990316_235445,-55.208,0.921,252.687,181.042,13.765,-100.525,29.809,6882.578,64010.807,19990316_175445
1,KDFX19990317_000035,-49.375,0.902,250.762,178.192,16.752,-100.535,29.822,8376.134,65691.464,19990316_180035
1,KDFX19990317_001216,-37.692,0.927,251.567,174.521,25.096,-100.531,29.838,12547.890,67250.856,19990316_181216
1,KDFX19990317_001806,-31.858,0.864,247.314,170.473,25.840,-100.553,29.856,12920.043,69916.209,19990316_181806
1,KDFX19990317_002356,-26.025,0.686,244.994,164.459,25.442,-100.565,29.884,12720.842,73138.557,19990316_182356
1,KDFX19990317_002945,-20.208,0.763,244.330,160.968,28.301,-100.568,29.899,14150.364,74881.721,19990316_182945
1,KDFX19990317_003535,-14.375,0.501,243.734,156.363,32.578,-100.572,29.920,16288.822,77131.895,19990316_183535
1,KDFX19990317_004125,-8.542,0.508,240.721,143.336,37.665,-100.587,29.979,18832.677,83752.211,19990316_184125
8,KDFX19990317_005305,3.125,0.066,257.250,420.444,5.699,-100.499,28.729,2849.257,63903.074,19990316_185305
8,KDFX19990317_005855,8.958,0.091,257.158,419.450,12.428,-100.500,28.733,6213.807,63450.521,19990316_185855
8,KDFX19990317_010444,14.775,0.829,253.446,416.687,13.987,-100.519,28.746,6993.481,62815.534,19990316_190444
8,KDFX19990317_011035,20.625,0.433,252.154,416.180,15.476,-100.525,28.748,7738.007,62823.358,19990316_191035
8,KDFX19990317_011625,26.458,0.186,249.924,416.207,16.094,-100.537,28.748,8047.134,63268.784,19990316_191625
8,KDFX19990317_012215,32.292,0.082,248.986,414.939,16.999,-100.541,28.754,8499.449,62875.619,19990316_192215
8,KDFX19990317_012805,38.125,0.097,254.349,417.446,22.240,-100.514,28.742,11120.132,63003.249,19990316_192805
8,KDFX19990317_013355,43.958,0.085,257.195,419.077,29.885,-100.499,28.735,14942.521,63268.378,19990316_193355
20,KDFX19990317_012805,38.125,0.226,333.736,102.608,10.731,-100.105,30.163,5365.601,100127.200,19990316_192805
20,KDFX19990317_013355,43.958,0.193,333.180,102.260,18.619,-100.108,30.164,9309.539,100252.344,19990316_193355
20,KDFX19990317_013944,49.775,0.171,335.329,104.716,24.568,-100.097,30.153,12283.921,99226.826,19990316_193944
5,KDFX19990317_005305,3.125,0.567,365.494,307.521,10.294,-99.943,29.238,5146.763,32962.359,19990316_185305
5,KDFX19990317_005855,8.958,0.057,360.515,307.172,20.661,-99.969,29.240,10330.513,30469.185,19990316_185855
14,KDFX19990317_011625,26.458,0.496,172.232,401.073,12.355,-100.935,28.815,6177.334,81455.985,19990316_191625
14,KDFX19990317_012215,32.292,0.082,171.573,400.446,19.185,-100.938,28.818,9592.568,81521.184,19990316_192215
14,KDFX19990317_012805,38.125,0.299,171.954,398.308,12.541,-100.936,28.827,6270.475,80716.014,19990316_192805
18,KDFX19990317_012215,32.292,0.104,512.693,202.735,32.360,-99.181,29.707,16180.225,116938.993,19990316_192215
18,KDFX19990317_012805,38.125,0.128,512.505,202.846,38.691,-99.182,29.706,19345.284,116830.462,19990316_192805
11,KDFX19990317_010444,14.775,0.448,269.068,290.417,5.753,-100.439,29.316,2876.602,16191.235,19990316_190444
17,KDFX19990317_012215,32.292,0.134,251.512,178.999,7.900,-100.531,29.818,3950.201,65177.087,19990316_192215
21,KDFX19990317_013355,43.958,0.061,324.080,322.571,26.643,-100.157,29.171,13321.470,16502.083,19990316_193355
4,KDFX19990318_005052,0.307,0.102,402.456,261.067,10.558,-99.752,29.447,5278.946,54801.954,19990317_185052
4,KDFX19990318_005642,6.141,0.900,397.978,262.103,17.163,-99.775,29.442,8581.601,52525.976,19990317_185642
4,KDFX19990318_010231,11.957,0.943,392.390,259.732,21.069,-99.804,29.453,10534.418,50392.307,19990317_190231
4,KDFX19990318_010822,17.807,0.957,393.126,258.613,24.696,-99.800,29.458,12348.087,50954.080,19990317_190822
4,KDFX19990318_011412,23.641,0.865,390.133,257.170,29.665,-99.816,29.465,14832.488,49895.960,19990317_191412
4,KDFX19990318_012003,29.491,0.806,384.404,258.499,37.829,-99.845,29.459,18914.718,47027.558,19990317_192003
4,KDFX19990318_012553,35.324,0.696,382.656,245.062,49.105,-99.854,29.520,24552.664,49624.199,19990317_192553
4,KDFX19990318_013143,41.157,0.744,379.333,250.195,48.970,-99.871,29.497,24485.204,46835.526,19990317_193143
4,KDFX19990318_013733,46.991,0.639,374.599,253.927,52.347,-99.896,29.480,26173.342,43839.920,19990317_193733
4,KDFX19990318_014322,52.807,0.155,378.390,236.943,59.090,-99.876,29.556,29545.023,50302.006,19990317_194322
1,KDFX19990318_002732,-23.026,0.934,247.457,183.251,11.350,-100.552,29.799,5675.058,64013.942,19990317_182732
1,KDFX19990318_003323,-17.176,0.901,244.850,183.073,14.749,-100.565,29.800,7374.644,64640.216,19990317_183323
1,KDFX19990318_003913,-11.343,0.956,240.694,182.907,17.213,-100.587,29.800,8606.399,65627.639,19990317_183913
1,KDFX19990318_004503,-5.509,0.972,243.270,180.486,25.749,-100.574,29.811,12874.273,66147.607,19990317_184503
1,KDFX19990318_005052,0.307,0.929,239.429,179.467,26.428,-100.594,29.816,13213.805,67448.269,19990317_185052
1,KDFX19990318_005642,6.141,0.842,237.723,176.304,34.015,-100.602,29.830,17007.705,69244.489,19990317_185642
1,KDFX19990318_010231,11.957,0.156,236.617,171.397,41.202,-100.608,29.852,20601.087,71687.204,19990317_190231
9,KDFX19990318_024838,118.074,0.192,22.263,426.395,34.612,-101.701,28.695,17305.960,152572.362,19990317_204838
9,KDFX19990318_025427,123.891,0.143,22.158,418.250,40.226,-101.702,28.731,20112.807,150979.750,19990317_205427
9,KDFX19990318_030017,129.724,0.151,25.500,403.221,43.444,-101.686,28.799,21721.976,146633.114,19990317_210017
6,KDFX19990318_012553,35.324,0.520,247.757,183.340,8.729,-100.550,29.798,4364.660,63911.598,19990317_192553
6,KDFX19990318_013143,41.157,0.333,248.496,182.422,17.471,-100.547,29.803,8735.462,64182.046,19990317_193143
5,KDFX19990318_012003,29.491,0.072,507.566,225.006,10.751,-99.209,29.606,5375.713,110349.311,19990317_192003
6,KDFX19990401_003939,-19.083,0.946,412.825,261.193,11.691,-99.699,29.446,5845.421,59656.368,19990331_183939
6,KDFX19990401_004530,-13.233,0.981,413.927,261.592,16.216,-99.693,29.444,8108.199,60113.435,19990331_184530
6,KDFX19990401_005120,-7.400,0.985,410.582,258.282,21.124,-99.710,29.459,10562.017,59094.761,19990331_185120
6,KDFX19990401_005815,-0.483,0.995,406.774,252.519,29.726,-99.730,29.486,14863.155,58427.380,19990331_185815
6,KDFX19990401_010405,5.350,0.991,405.908,248.759,34.345,-99.734,29.503,17172.260,58826.418,19990331_190405
6,KDFX19990401_010955,11.184,0.986,405.861,247.819,41.750,-99.734,29.507,20875.029,59011.175,19990331_190955
6,KDFX19990401_011545,17.017,0.970,405.284,246.064,46.949,-99.737,29.515,23474.342,59147.837,19990331_191545
6,KDFX19990401_012135,22.850,0.959,402.239,245.201,51.597,-99.753,29.519,25798.707,57999.365,19990331_192135
6,KDFX19990401_012724,28.667,0.978,397.445,251.977,49.264,-99.778,29.488,24631.954,54317.865,19990331_192724
6,KDFX19990401_013314,34.500,0.980,396.944,254.259,50.995,-99.781,29.478,25497.344,53596.277,19990331_193314
6,KDFX19990401_013904,40.334,0.973,391.674,260.824,51.005,-99.808,29.448,25502.270,49846.839,19990331_193904
6,KDFX19990401_014454,46.167,0.958,392.428,264.032,52.856,-99.804,29.434,26427.915,49590.126,19990331_194454
6,KDFX19990401_015044,52.000,0.906,397.722,259.183,61.514,-99.777,29.456,30757.221,52951.868,19990331_195044
6,KDFX19990401_015633,57.817,0.380,399.469,257.446,65.540,-99.768,29.463,32769.903,54094.817,19990331_195633
6,KDFX19990401_020223,63.650,0.066,400.803,262.089,67.681,-99.761,29.443,33840.293,53847.947,19990331_200223
1,KDFX19990401_001030,-48.233,0.052,254.327,179.972,8.090,-100.517,29.814,4044.977,64212.000,19990331_181030
1,KDFX19990401_001620,-42.400,0.845,254.468,178.952,11.519,-100.516,29.818,5759.564,64663.927,19990331_181620
1,KDFX19990401_002210,-36.566,0.859,252.592,176.413,14.700,-100.526,29.830,7349.771,66184.073,19990331_182210
1,KDFX19990401_002759,-30.750,0.886,251.742,173.944,19.198,-100.530,29.841,9598.847,67488.813,19990331_182759
1,KDFX19990401_003349,-24.916,0.766,251.098,170.771,23.548,-100.533,29.855,11773.837,69085.820,19990331_183349
1,KDFX19990401_003939,-19.083,0.097,251.138,160.509,32.024,-100.533,29.901,16011.954,73900.810,19990331_183939
8,KDFX19990401_010405,5.350,0.087,332.086,323.745,9.214,-100.115,29.165,4607.048,19958.221,19990331_190405
8,KDFX19990401_010955,11.184,0.572,332.204,322.932,15.385,-100.115,29.169,7692.540,19767.191,19990331_190955
10,KDFX19990401_010955,11.184,0.145,366.978,311.199,8.913,-99.936,29.222,4456.436,33953.704,19990331_190955
10,KDFX19990401_011545,17.017,0.416,366.877,311.154,14.959,-99.936,29.222,7479.660,33900.194,19990331_191545
