track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KSJT19970109-1,KSJT19970109_235520,2,1.500,1.200,1245,nan,0,0,0.760,0.760,0.760
KSJT19970109-1,KSJT19970109_235520,4,2.400,1.200,1250,nan,0,0,0.763,0.763,0.763
KSJT19970111-1,KSJT19970111_223237,0,0.500,1.200,908,nan,0,0,3056.207,3056.207,3056.207
KSJT19970112-3,KSJT19970113_011630,0,0.500,1.200,3762,nan,0,0,682.176,682.176,682.176
KSJT19970112-3,KSJT19970113_011630,2,1.400,1.200,3767,nan,0,0,63.875,63.875,63.875
KSJT19970112-3,KSJT19970113_011630,4,2.400,1.200,3754,nan,0,0,1.345,1.345,1.345
KSJT19970112-3,KSJT19970113_011630,5,3.500,1.200,3758,nan,0,0,1.350,1.350,1.350
KSJT19970112-3,KSJT19970113_012618,0,0.500,1.200,6128,nan,0,0,962.773,962.773,962.773
KSJT19970112-3,KSJT19970113_012618,2,1.500,1.200,6106,nan,0,0,129.176,129.176,129.176
KSJT19970112-3,KSJT19970113_012618,4,2.400,1.200,6124,nan,0,0,2.049,2.049,2.049
KSJT19970112-3,KSJT19970113_012618,5,3.400,1.200,6078,nan,0,0,2.037,2.037,2.037
KSJT19970112-3,KSJT19970113_012618,6,4.500,1.200,6144,nan,0,0,30.164,30.164,30.164
KSJT19970112-3,KSJT19970113_013606,0,0.500,1.200,6550,nan,0,0,995.345,995.345,995.345
KSJT19970112-3,KSJT19970113_013606,2,1.400,1.200,6620,nan,0,0,151.192,151.192,151.192
KSJT19970112-3,KSJT19970113_013606,4,2.400,1.200,6594,nan,0,0,1.973,1.973,1.973
KSJT19970112-3,KSJT19970113_013606,5,3.500,1.200,6737,nan,0,0,2.014,2.014,2.014
KSJT19970112-3,KSJT19970113_013606,6,4.500,1.200,6903,nan,0,0,14.180,14.180,14.180
KSJT19970112-3,KSJT19970113_014554,0,0.500,1.200,3814,nan,0,0,827.473,827.473,827.473
KSJT19970112-3,KSJT19970113_014554,2,1.500,1.200,3816,nan,0,0,81.714,81.714,81.714
KSJT19970112-3,KSJT19970113_014554,4,2.400,1.200,3813,nan,0,0,1.135,1.135,1.135
KSJT19970112-3,KSJT19970113_014554,5,3.400,1.200,3815,nan,0,0,1.138,1.138,1.138
KSJT19970112-3,KSJT19970113_014554,6,4.500,1.200,3823,nan,0,0,1.144,1.144,1.144
KSJT19970112-1,KSJT19970112_225514,0,0.500,1.200,2239,nan,0,0,67.709,67.709,67.709
KSJT19970112-1,KSJT19970112_225514,2,1.500,1.200,2238,nan,0,0,1.048,1.048,1.048
KSJT19970112-1,KSJT19970112_225514,4,2.400,1.200,2319,nan,0,0,1.093,1.093,1.093
KSJT19970112-1,KSJT19970112_225514,5,3.400,1.200,2545,nan,0,0,1.194,1.194,1.194
KSJT19970112-1,KSJT19970112_230502,0,0.500,1.200,5122,nan,0,0,121.199,121.199,121.199
KSJT19970112-1,KSJT19970112_230502,2,1.400,1.200,5127,nan,0,0,4.190,4.190,4.190
KSJT19970112-1,KSJT19970112_230502,4,2.400,1.200,5009,nan,0,0,2.344,2.344,2.344
KSJT19970112-1,KSJT19970112_230502,5,3.400,1.200,5112,nan,0,0,2.398,2.398,2.398
KSJT19970119-3,KSJT19970119_235800,0,0.500,1.200,1450,nan,0,0,46740.077,46740.077,46740.077
KSJT19970119-3,KSJT19970119_235800,2,1.400,1.200,1450,nan,0,0,22125.666,22125.666,22125.666
KSJT19970119-3,KSJT19970120_000427,0,0.500,1.200,2602,nan,0,0,75811.570,75811.570,75811.570
KSJT19970119-3,KSJT19970120_000427,2,1.400,1.200,2577,nan,0,0,36486.179,36486.179,36486.179
KSJT19970119-3,KSJT19970120_001018,0,0.500,1.200,2747,nan,0,0,118922.289,118922.289,118922.289
KSJT19970119-3,KSJT19970120_001018,2,1.400,1.200,2762,nan,0,0,44145.521,44145.521,44145.521
KSJT19970119-3,KSJT19970120_001609,0,0.500,1.200,2850,nan,0,0,160939.795,160939.795,160939.795
KSJT19970119-3,KSJT19970120_001609,2,1.400,1.200,2850,nan,0,0,46259.172,46259.172,46259.172
KSJT19970119-3,KSJT19970120_002200,0,0.500,1.200,3191,nan,0,0,213111.337,213111.337,213111.337
KSJT19970119-3,KSJT19970120_002200,2,1.400,1.200,3212,nan,0,0,67387.583,67387.583,67387.583
